Date,Description,Amount,Balance
01/05/2026,DIRECT DEP PAYROLL,3200.00,5000.00
01/06/2026,RENT PAYMENT,-1300.00,3700.00
01/08/2026,GROCERY MARKET,-132.44,3567.56
01/10/2026,COFFEE SHOP,-8.75,3558.81
01/12/2026,TOLL ROAD,-24.50,3534.31
02/05/2026,DIRECT DEP PAYROLL,3200.00,6100.00
02/06/2026,RENT PAYMENT,-1300.00,4800.00
02/08/2026,GROCERY MARKET,-145.12,4654.88
02/10/2026,RESTAURANT,-86.40,4568.48
03/05/2026,DIRECT DEP PAYROLL,3200.00,7100.00
03/06/2026,RENT PAYMENT,-1300.00,5800.00
03/08/2026,GROCERY MARKET,-128.18,5671.82
03/10/2026,RESTAURANT,-95.20,5576.62
04/05/2026,DIRECT DEP PAYROLL,3200.00,8100.00
04/06/2026,RENT PAYMENT,-1300.00,6800.00
04/08/2026,GROCERY MARKET,-139.50,6660.50
04/10/2026,RESTAURANT,-91.35,6569.15
05/05/2026,DIRECT DEP PAYROLL,3200.00,9100.00
05/06/2026,RENT PAYMENT,-1300.00,7800.00
05/08/2026,GROCERY MARKET,-136.20,7663.80
05/10/2026,RESTAURANT,-88.10,7575.70
06/05/2026,DIRECT DEP PAYROLL,3200.00,10100.00
06/06/2026,RENT PAYMENT,-1300.00,8800.00
06/08/2026,GROCERY MARKET,-141.70,8658.30
06/10/2026,RESTAURANT,-89.15,8569.15
07/05/2026,DIRECT DEP PAYROLL,3200.00,11100.00
07/06/2026,RENT PAYMENT,-1300.00,9800.00
07/08/2026,GROCERY MARKET,-140.10,9659.90
07/10/2026,RESTAURANT,-92.30,9567.60
08/05/2026,DIRECT DEP PAYROLL,3200.00,12000.00
08/06/2026,RENT PAYMENT,-1300.00,10700.00
08/08/2026,GROCERY MARKET,-148.00,10552.00
08/10/2026,RESTAURANT,-650.00,9902.00
